"time_value","geo_value_fullname","fips","value"
2020-01-04,"Alabama","01",0
2020-01-04,"Arkansas","05",0
2020-01-04,"Hawaii","15",0
2020-01-04,"Indiana","18",0
2020-01-04,"Louisiana","22",0
2020-01-04,"Minnesota","27",0
2020-01-04,"Montana","30",0
2020-01-04,"North Carolina","37",0
2020-01-04,"Nevada","32",528
2020-01-04,"Puerto Rico","72",0
2020-01-04,"Texas","48",0
2020-01-04,"Virgin Islands","78",0
2020-01-11,"Alabama","01",0
2020-01-11,"Hawaii","15",0
2020-01-11,"Indiana","18",0
2020-01-11,"Minnesota","27",0
2020-01-11,"Montana","30",0
2020-01-11,"North Carolina","37",0
2020-01-11,"Texas","48",0
2020-01-18,"Alabama","01",0
2020-01-18,"Hawaii","15",0
2020-01-18,"Indiana","18",0
2020-01-18,"Minnesota","27",0
2020-01-18,"Montana","30",0
2020-01-18,"North Carolina","37",0
2020-01-18,"Texas","48",0
2020-01-25,"Alabama","01",0
2020-01-25,"Hawaii","15",0
2020-01-25,"Indiana","18",0
2020-01-25,"Minnesota","27",0
2020-01-25,"Montana","30",0
2020-01-25,"North Carolina","37",0
2020-01-25,"Nevada","32",0
2020-01-25,"Texas","48",0
2020-02-01,"Alabama","01",0
2020-02-01,"Hawaii","15",0
2020-02-01,"Indiana","18",0
2020-02-01,"Kansas","20",0
2020-02-01,"Minnesota","27",0
2020-02-01,"Montana","30",0
2020-02-01,"North Carolina","37",0
2020-02-01,"Nevada","32",0
2020-02-01,"Texas","48",0
2020-02-08,"Alabama","01",0
2020-02-08,"Hawaii","15",0
2020-02-08,"Indiana","18",0
2020-02-08,"Kansas","20",0
2020-02-08,"Minnesota","27",0
2020-02-08,"Montana","30",0
2020-02-08,"North Carolina","37",0
2020-02-08,"Nevada","32",0
2020-02-08,"Texas","48",0
2020-02-15,"Alabama","01",0
2020-02-15,"Hawaii","15",0
2020-02-15,"Indiana","18",0
2020-02-15,"Kansas","20",0
2020-02-15,"Minnesota","27",0
2020-02-15,"Montana","30",0
2020-02-15,"North Carolina","37",0
2020-02-15,"Nevada","32",0
2020-02-15,"Texas","48",0
2020-02-22,"Alabama","01",0
2020-02-22,"Hawaii","15",0
2020-02-22,"Illinois","17",0
2020-02-22,"Indiana","18",0
2020-02-22,"Kansas","20",0
2020-02-22,"Minnesota","27",0
2020-02-22,"Missouri","29",0
2020-02-22,"Mississippi","28",0
2020-02-22,"Montana","30",0
2020-02-22,"North Carolina","37",0
2020-02-22,"Nevada","32",0
2020-02-22,"Texas","48",0
2020-02-29,"Alabama","01",0
2020-02-29,"California","06",0
2020-02-29,"Georgia","13",0
2020-02-29,"Hawaii","15",0
2020-02-29,"Iowa","19",0
2020-02-29,"Illinois","17",0
2020-02-29,"Indiana","18",0
2020-02-29,"Kansas","20",0
2020-02-29,"Kentucky","21",0
2020-02-29,"Louisiana","22",0
2020-02-29,"Maryland","24",0
2020-02-29,"Maine","23",0
2020-02-29,"Michigan","26",0
2020-02-29,"Minnesota","27",0
2020-02-29,"Missouri","29",0
2020-02-29,"Mississippi","28",0
2020-02-29,"Montana","30",0
2020-02-29,"North Carolina","37",0
2020-02-29,"North Dakota","38",0
2020-02-29,"Nebraska","31",0
2020-02-29,"New Jersey","34",0
2020-02-29,"Nevada","32",0
2020-02-29,"Ohio","39",0
2020-02-29,"Oklahoma","40",0
2020-02-29,"Oregon","41",0
2020-02-29,"Pennsylvania","42",0
2020-02-29,"Puerto Rico","72",0
2020-02-29,"Texas","48",0
2020-02-29,"Washington","53",0
2020-02-29,"Wisconsin","55",0
